canon,imb,lambda,n,reg_m,reg_s,mse_m,mse_s,fair_m,fair_s,time_m,n_total,class
FPTO,0.2,0.0,5,0.539743516153764,0.0104871093373783,7.088561020659884,0.11464676156371723,2.022996292207723,0.026700321759352996,9.62535387300004,5,Baseline (fair LP/SOCP)
FPTO,0.2,0.5,5,0.5397468699145184,0.0104325458233083,7.089567149049458,0.11450080777284274,2.0233443842290413,0.026709722726706266,8.993752945599999,5,Baseline (fair LP/SOCP)
FPTO,0.2,1.0,5,0.5397502918590643,0.010378907674931796,7.090564678558534,0.11436359240064353,2.0236881808711957,0.026721405218683995,8.188107983600002,5,Baseline (fair LP/SOCP)
FPTO,0.2,2.0,5,0.5397598714653896,0.010274792061107544,7.092549405205612,0.11410619200682197,2.0243683065511258,0.026763062913099316,7.661384494800222,5,Baseline (fair LP/SOCP)
FPTO,0.2,5.0,5,0.5397954140437051,0.009967713802643982,7.09827220932421,0.11353733317469634,2.0263453696577565,0.02691443326048928,7.177399033000074,5,Baseline (fair LP/SOCP)
PTO,0.2,0.0,5,0.539743516153764,0.0104871093373783,7.088561020659884,0.11464676156371723,2.022996292207723,0.026700321759352996,10.026970939599982,5,Baseline (unfair)
SAA,0.2,0.0,5,0.5422780981232075,0.0,6.21274920329701,0.0,1.8537097395694144,0.0,3.324899953440763e-05,5,Baseline (unfair)
WDRO,0.2,0.0,5,0.5397233819754463,0.010427223566812895,7.08802268769997,0.11417863975026861,2.022990573858382,0.0265277454627259,0.29595989379995447,5,Baseline (unfair)
DFL,0.2,0.0,4,0.31441515943098497,0.041598011465632745,14.3470606699595,6.666652087835967,0.9554254247554854,0.22815847072522852,158.87499309875002,5,Decision-focused
PLG-kappa1,0.2,0.0,5,0.47254239718581587,0.020943319449514945,6.706970200547699,0.13682733873271938,1.9631525509508851,0.04039965605429671,12.472811467000064,5,"Decision-focused (sched, no fair)"
FDFL,0.2,0.0,4,0.31441515943098497,0.041598011465632745,14.3470606699595,6.666652087835967,0.9554254247554854,0.22815847072522852,139.00744766225012,5,Decision-focused + fair
FDFL,0.2,0.5,5,0.24840726813491054,0.022827467277324393,8.841975660934883,7.380987399698262,1.5019812814638909,1.0559357473478217,138.18714358379998,5,Decision-focused + fair
FDFL,0.2,1.0,4,0.3617284978580303,0.06680753195293146,23.76051403942933,17.20899144902265,0.651590634170245,0.6557007847944253,167.01253160299993,5,Decision-focused + fair
FDFL,0.2,2.0,5,0.30512734659205415,0.08148438156682575,27.453090373440727,29.584227947902974,2.5478922798000205,3.6103411692469307,186.96509258999995,5,Decision-focused + fair
FDFL,0.2,5.0,5,0.3065186167664561,0.05552488489173182,23.693040216020897,20.56240996617152,2.038036245726565,1.6781561471726,166.98049981580007,5,Decision-focused + fair
CAGrad,0.2,0.0,5,0.33107158277309634,0.03294927096947768,11.548667050159445,8.003046235406254,1.8787145036242687,1.1417534738388897,158.72046313299998,5,MOO
MGDA,0.2,0.0,5,0.3637278692861061,0.01516937241202656,6.51824890056306,0.1695549973702992,1.9278157942080252,0.017535759159832548,96.61401312680002,5,MOO
NashMTL,0.2,0.0,5,0.3065243180904459,0.011867107684672218,2.458621542301208,0.08153562298080315,1.1088710334010639,0.08112442058253333,41.57660310199999,5,MOO
PCGrad,0.2,0.0,5,0.22782086268720522,0.012183725043102351,1.5777784365829803,0.0906057046125566,0.6308775571654212,0.029150328053866314,58.82743271640002,5,MOO
FPLG-kappa1,0.2,0.0,5,0.47254239718581587,0.020943319449514945,6.706970200547699,0.13682733873271938,1.9631525509508851,0.04039965605429671,25.02601857059999,5,Prediction-anchor (with fair)
FPLG-kappa1,0.2,0.5,5,0.3947712202131734,0.00855203886393564,5.837947732217561,0.23124578071284901,1.8022175353687397,0.09945532748646826,32.93232828800001,5,Prediction-anchor (with fair)
FPLG-kappa1,0.2,1.0,5,0.3661935427430928,0.010338682807900774,4.799188821593711,0.24983241095071135,1.6532851236591697,0.14782856474786646,54.68201089499998,5,Prediction-anchor (with fair)
FDFL-Scal-mu0.01,0.2,0.0,5,0.47216148941035263,0.02208996572081847,6.953612489747771,0.10129202437081201,2.0034445730512753,0.02804798566436813,28.497993223999764,5,Scalarized
FDFL-Scal-mu0.01,0.2,1.0,5,0.4721585504712097,0.022154725444486004,6.956251195287459,0.10111956596976086,2.004302791119108,0.028447672567500214,28.040767734200017,5,Scalarized
FDFL-Scal-mu0.01,0.2,5.0,5,0.4721253010708735,0.02244318011059078,6.966049125008858,0.10093622315099521,2.0075488016917853,0.030158560793695666,27.72510644940012,5,Scalarized
FDFL-Scal-mu0.1,0.2,0.0,5,0.4721788127263288,0.02159738397456749,6.839632408903386,0.11689826810388729,1.9848813008247888,0.033704036403286876,26.03371414620001,5,Scalarized
FDFL-Scal-mu0.1,0.2,1.0,5,0.47217547154563366,0.021658356201063416,6.842079637231476,0.11666816438153824,1.9857807597561496,0.03418215543044259,25.517340716600028,5,Scalarized
FDFL-Scal-mu0.1,0.2,2.0,5,0.47217116062389897,0.021722904370345564,6.844414151625424,0.11652330812261401,1.9866567388693297,0.03466219256452584,28.300395659199967,5,Scalarized
FDFL-Scal-mu0.1,0.2,5.0,5,0.47214792174711756,0.02192146875489952,6.851065133089337,0.11651400483278077,1.989231135455062,0.03617979439340943,27.56304631620005,5,Scalarized
FDFL-Scal-mu0.5,0.2,0.0,5,0.47344587597585874,0.019705358941530478,6.45246880274028,0.1838469418968663,1.917684353931134,0.059458151074756375,26.912712449399987,5,Scalarized
FDFL-Scal-mu0.5,0.2,1.0,5,0.4734096812356975,0.019759459640965718,6.453625862627684,0.18382706678453162,1.918587579498101,0.06018039800648873,26.337139808399844,5,Scalarized
FDFL-Scal-mu0.5,0.2,5.0,5,0.4732253148334533,0.019991607271119587,6.457081328087535,0.1842591564186639,1.92200465370778,0.06315475214538227,26.45729028420028,5,Scalarized
FDFL-Scal-mu1,0.2,0.0,5,0.4767559887857956,0.017884020334273106,6.181420184967363,0.22786408195426722,1.865639853289744,0.07880944147399077,24.990264167799978,5,Scalarized
FDFL-Scal-mu1,0.2,1.0,5,0.47668041194231525,0.01794137909928534,6.180900988664993,0.22806417988159888,1.8665327580753144,0.07959199215924705,24.324073093199964,5,Scalarized
FDFL-Scal-mu1,0.2,2.0,5,0.47659579807788166,0.01800240767102253,6.1802581646951165,0.22833555073720163,1.8673937907035154,0.08036545984164654,26.085104101400248,5,Scalarized
FDFL-Scal-mu1,0.2,5.0,5,0.4763013888398767,0.018196321385451596,6.177464341553403,0.22961626962617476,1.869764744274803,0.08279702902795316,25.478661147799905,5,Scalarized
FDFL-Scal-mu2,0.2,0.0,5,0.4830266313973862,0.01562883089315619,5.966765426821724,0.2507962319707133,1.8200865774356199,0.09249309134889633,26.54636258440023,5,Scalarized
FDFL-Scal-mu2,0.2,1.0,5,0.48290018683920194,0.015683505641045422,5.964659833264357,0.2514383820362845,1.8208784515850263,0.0933353231523033,25.624641360599888,5,Scalarized
FDFL-Scal-mu2,0.2,5.0,5,0.4824223783857309,0.016035228637643242,5.956101929337971,0.2552671977891729,1.823158261837765,0.09670842776338791,25.322498647400245,5,Scalarized
